id,Plays
5965,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3 15. Be3 Bg4 16. Qd3 Rae8 17. Nd2 Re6 18. a4 b4 19. Bxd5 cxd5 20. Qf1 Qh5 21. c4 dxc4 22. Qxc4 g5 23. Qd5 Be7 24. f4 Rd8 25. Qb7 Be2 26. Bf2 gxf4 27. gxf4 Rg6+ 28. Bg3 Bc5 29. dxc5 Qxc5+ 30. Kh1 Rxd2 31. Rac1 Qh5 32. Qb8+ Kg7 33. Qe5+ Qxe5 34. fxe5 h5 35. Rg1 Rxb2
6550,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. Bxd5 cxd5 13. d4 Bd6 14. Re3 f5 15. Nd2 f4 16. Re1 Ra7 17. Qb3 Bb8 18. Nf3 g5 19. Ne5 Qd6 20. f3 Rg7 21. a4 bxa4 22. Rxa4 g4 23. c4 gxf3 24. Nxf3 h5 25. c5 Qg6 26. Re2 Bh3 27. Qc2 Bf5 28. Qd1 h4 29. Qe1 Bd3 30. Rf2 h3 31. Ra3 hxg2 32. Rxd3 Qxd3 33. Qe6+ Kh8 34. Qh6+ Qh7 35. Qxh7+ Kxh7 36. Rxg2 Rxg2+ 37. Kxg2 Re8 38. Kf2 Kg6 39. Ne5+ Kf5 40. Kf3 Bxe5 41. dxe5 Rc8 42. b4 a5 43. bxa5 Rxc5 44. e6 Rxc1 45. h4 Rh1
7231,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3 15. Be3 Bg4 16. Qd3 Rae8 17. Nd2 Re6 18. a4 bxa4 19. Rxa4 f5 20. Qf1 Qh5 21. f4 g5 22. Rxa6 gxf4 23. Rxc6 Rxe3 24. Bxd5+ Kh8 25. Rxe3 fxe3 26. Nf3 f4 27. Rxd6 fxg3 28. hxg3 Bxf3 29. Bxf3 Rxf3 30. Qe1 Qg5 31. Kh2 Rf2+ 32. Kh1 Qxg3
7780,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. a4 Bb7 11. axb5 axb5 12. Rxa8 Bxa8 13. Na3 Na5 14. Ba2 e4 15. Ne5 Bxa3 16. bxa3 Qh4 17. Qg4 Qxg4 18. Nxg4 Nf6 19. Nxf6+ gxf6 20. Re3 Rd8 21. Rg3+ Kf8 22. d4 c5 23. Bh6+ Ke7 24. Be3 cxd4 25. Bxd4 Bd5 26. Bxd5 Rxd5 27. Re3 f5 28. f3 Nc4 29. Re1 Nd6 30. Kf2 f6 31. Re2 Ke6
8329,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. a4 Bb7 11. axb5 axb5 12. Rxa8 Bxa8 13. Na3 Na5 14. Ba2 e4 15. Ne5 Bxa3 16. bxa3 Qh4 17. d4 Nxc3 18. Qc2 Nxa2 19. Qxa2 Nc6 20. Nxc6 Bxc6 21. d5 Ba8 22. Qc2 Bxd5 23. Qxc7 Qd8 24. Qc5 Bc4 25. a4 Qa5 26. Rxe4 Qxa4 27. Re1 Qa8 28. Bb2 Re8 29. Rxe8+ Qxe8 30. h3 Qe1+ 31. Kh2 f6 32. Bd4 Qe4 33. f3 Qd5 34. Qc8+ Kf7 35. Qc7+ Kf8 36. Qc8+ Kf7 37. Qb7+ Kf8 38. Qc8+ Kf7 39. Qc7+
8962,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. Bxd5 cxd5 13. d4 Bd6 14. Re1 Qh4 15. g3 Qh3 16. Qf3 Bf5 17. Qg2 Qh5 18. Qxd5 Rad8 19. Qg2 Rde8 20. Be3 Bh3 21. Qh1 Be6 22. Nd2 Bd5 23. f3 f5 24. Bf2 g5 25. Qg2 g4 26. Rxe8 Qxe8 27. Re1 Qg6 28. b3 gxf3 29. Qh3 Bf4 30. Nf1 Kh8 31. Be3 Bxe3+ 32. Nxe3 f4 33. Nxd5 fxg3 34. Rc1 f2+ 35. Kh1 Qe4+
9564,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3 15. Bxd5 cxd5 16. Qf3 Bf5 17. Qxd5 Rae8 18. Re3 Qh5 19. f3 Qg6 20. Rxe8 Rxe8 21. Nd2 Bxg3 22. Ne4 Bh4+
10000,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3 15. Qd3 Bf5 16. Qf1 Qh5 17. Be3 Rae8 18. Nd2 Re6 19. a4 Bh3 20. Bd1 Qf5 21. Qe2 Nf4 22. Qf3 h5 23. Bb3 Bg2 24. Qd1 Qh3 25. Bxf4 Bxf4 26. Rxe6 Bxd2 27. f4 Bxf4 28. Qe2 Bf3 29. Qxf3 fxe6 30. Re1 Rf6 31. Qxf4 Rxf4 32. Bxe6+ Qxe6 33. Rxe6 Rf6 34. Rxf6 gxf6 35. axb5 axb5 36. Kf2 Kf7 37. Kf3 Ke6 38. Ke4 f5+ 39. Kf4 Kd5 40. Kxf5 Kc4 41. g4 hxg4 42. Kxg4 Kb3 43. h4 Kxb2 44. h5 Kxc3 45. h6
10704,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. d3 Qd6 10. Nbd2 Be6 11. Bc2 Rad8 12. a4 dxe4 13. dxe4 Qc5 14. axb5 axb5 15. Qe2 Qb6 16. Bb3 Bc8 17. Nf1 Nd7 18. Ne3 Bc5 19. Nd5 Qb8 20. Bg5 Rde8 21. Nh4 Ne7 22. Bxe7 Bxe7 23. Nxe7+ Rxe7 24. Nf5 Ree8 25. Qg4 g6 26. Qg5 Qb6 27. Re3 Qf6 28. Qxf6 Nxf6 29. Ng3 Be6 30. Bxe6 Rxe6 31. Rd3 Rb8 32. f3 Rc6 33. b3 Kf8 34. Kf2 Ke7 35. Ke3 Nd7 36. Rb1 Ra8 37. Ne2 Nb6 38. Rd2 Ra3 39. Rc2 Nd7 40. Nc1 Nc5 41. Ra2 Rca6 42. Rxa3 Rxa3 43. Kd2 Ne6 44. Nd3 Kd6 45. Kc2 Ra2+ 46. Rb2 Ra1 47. Rb1 Rxb1
11439,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re2 Qh4 14. g3 Qh5 15. Re4 Qg6 16. Bc2 Bf5 17. Re2 Bxc2 18. Qxc2 f5 19. Nd2 Nf4 20. Re3 Nh3+ 21. Kg2 Qh5 22. f4 Bxf4 23. gxf4 Qg4+ 24. Rg3 Qe2+ 25. Kh1 Qe1+ 26. Kg2 Nxf4+ 27. Kf3 Rae8 28. Nb3 Qf1+ 29. Qf2 Qd3+ 30. Kxf4 Qe4+ 31. Kg5 h6+ 32. Kh5 f4 33. Rg4 Qe7 34. Qc2 Rd8 35. Rg6 Rd5+ 36. Kg4 Qd7+ 37. Kf3 Qh3+ 38. Kf2 Qxh2+ 39. Rg2 Qh4+ 40. Kf1 Qh3 41. Kg1 f3 42. Rh2
