id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1898713,194,-1,0,13,8,0,2,1,0,0,12,9,1,2,1,0,0,2087,-1,2086
1899207,181,-90,10,18,9,8,1,1,1,0,24,9,6,2,3,0,0,4229,-354,3875
1899935,93,-291,-114,17,7,4,1,0,1,0,18,9,2,2,1,0,0,1385,-1003,382
1900497,87,-911,-911,13,5,5,5,3,1,0,21,8,4,2,2,0,0,1397,-15912,-14515
1901120,61,-1067,-1067,6,3,2,0,2,2,0,15,3,1,1,0,0,0,1094,-8334,-7240
1901555,67,-111,0,25,16,4,1,0,0,0,38,12,3,2,0,0,0,1601,-3041,-1440
1902406,240,-595,0,15,7,9,6,3,2,0,26,8,12,4,4,0,1,2991,-10840,-7849
1903222,762,-8,744,34,14,6,3,0,0,0,31,16,9,4,3,0,0,16250,-8,16242
1904153,1640,-2,1640,18,22,7,5,2,1,1,29,20,10,7,4,3,0,34886,-2,34884
1905192,757,-23,700,16,17,7,4,1,0,0,23,23,6,5,1,1,0,20507,-56,20451
1906060,138,5,15,11,8,5,1,0,0,0,17,8,4,1,0,0,0,2816,0,2816
1906602,90,-1722,-1722,39,15,4,1,0,0,2,45,13,5,1,0,1,0,3080,-7161,-4081
1907532,132,-59,0,40,9,7,1,0,0,0,48,9,5,2,0,0,0,2486,-623,1863
1908450,780,0,764,14,9,1,3,1,0,0,15,3,6,3,2,0,1,7971,0,7971
1909011,134,-1655,-1655,27,15,6,10,2,2,1,37,12,9,5,1,2,0,2451,-16715,-14264
1909956,70,-8,70,7,5,0,1,0,0,0,10,4,0,1,0,0,0,1310,-8,1302
1910325,620,-100,607,11,8,5,2,1,0,0,9,10,3,3,1,2,0,11497,-280,11217
1910857,74,-7,12,16,6,1,1,0,0,0,17,8,2,0,0,0,0,1413,-13,1400
1911370,1036,-12,946,15,7,4,2,1,1,0,15,9,6,2,3,0,1,18171,-36,18135
1911990,1238,-3,1238,18,11,5,3,1,3,0,21,13,6,7,2,2,1,35932,-3,35929
1912776,75,-153,0,24,11,5,2,1,0,0,32,7,5,2,1,0,0,1250,-1290,-40
